,rouge1,rouge2,rougeL,bleu,exact_match
Multi-Model (equal),0.1592460549054575,0.14083819588909807,0.1559008274299892,0.07634994078240596,0.0
Multi-Model (dynamic),0.15756398849856992,0.11600641778113416,0.14216937496073756,0.0642165144286588,0.0
Multi-Model (complementary),0.17058381894424215,0.1387475111238891,0.1615336729077948,0.0688672180309227,0.0
